"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"375",7.3649233798787e-209,3.79117642100784,0.408,0.052,2.6956356062694e-204,"7","PIEZO2"
"376",2.78630540576874e-169,3.77727171997936,0.357,0.049,1.01981564156542e-164,"7","PCSK6"
"377",5.18701494970028e-260,3.76607800199205,0.668,0.137,1.8984993417398e-255,"7","SMAD1"
"378",4.2202532679639e-297,3.7403229741718,0.586,0.081,1.54465489860747e-292,"7","COLEC12"
"379",0,3.66208305177192,0.848,0.2,0,"7","STOX2"
"380",2.89386793462777e-286,3.65959181778833,0.706,0.136,1.05918460275311e-281,"7","MPP7"
"381",3.47203764857268e-233,3.6572633162152,0.554,0.093,1.27080049975409e-228,"7","SEMA6A"
"382",2.7455009544985e-244,3.64162944276108,0.839,0.302,1.00488080435599e-239,"7","PPFIBP1"
"383",5.24579483647854e-260,3.62704754081312,0.641,0.12,1.92001336809951e-255,"7","VAV3"
"384",1.78748281871257e-152,3.58831533850579,0.298,0.036,6.54236586476987e-148,"7","STXBP6"
"385",1.44975009442701e-145,3.5201750825567,0.33,0.048,5.30623032061229e-141,"7","OSBP2"
"386",4.55748704073008e-114,3.39267530364757,0.326,0.06,1.66808583177762e-109,"7","ART4"
"387",6.68308345425664e-187,3.36742333301879,0.507,0.095,2.44607537509247e-182,"7","RASGRP3"
"388",9.03199874632332e-188,3.35722237919539,0.668,0.188,3.3058018611418e-183,"7","PGM5"
"389",1.04759035802358e-185,3.32834009665303,0.366,0.046,3.83428546940209e-181,"7","KDR"
"390",3.93591399203887e-190,3.31533147362936,0.77,0.295,1.44058388022615e-185,"7","TFPI"
"391",9.72744537307995e-206,3.29903285684384,0.78,0.265,3.56034228100099e-201,"7","EFNA5"
"392",1.85228853573882e-199,3.29238289598268,0.484,0.079,6.77956126965767e-195,"7","NRG3"
"393",9.32981764805246e-136,3.27397824475881,0.444,0.097,3.41480655736368e-131,"7","NR2F1-AS1"
"394",8.16014837229708e-176,3.2616292135917,0.562,0.13,2.98669590574445e-171,"7","LRRC1"
"395",4.96153196982302e-87,3.16739800935255,0.256,0.047,1.81597031627492e-82,"7","CATSPERB"
"396",1.47955537488023e-232,3.15143812098921,0.848,0.296,5.41532062759914e-228,"7","ST6GALNAC3"
"397",2.06913425159186e-99,3.12676648287169,0.336,0.072,7.57323827425136e-95,"7","KANK3"
"398",5.08694591455107e-186,3.1248955265759,0.51,0.094,1.86187307418484e-181,"7","TBX1"
"399",8.92733994284271e-181,3.04996274430065,0.727,0.246,3.26749569247986e-176,"7","PTPRE"
"400",2.9491476758815e-165,3.04417064564749,0.516,0.109,1.07941754084939e-160,"7","PDE7B"
"401",0,7.21638542396831,0.427,0.005,0,"8","GRIK3"
"402",0,6.74547706618506,0.65,0.026,0,"8","XKR4"
"403",0,6.65210588185129,0.37,0.006,0,"8","PRIMA1"
"404",0,6.60560960137123,0.446,0.01,0,"8","LRRTM4"
"405",0,6.60179706250411,0.749,0.025,0,"8","SORCS1"
"406",0,6.59737167724861,0.305,0.005,0,"8","ATP10B"
"407",0,6.59705515476147,0.794,0.059,0,"8","NRXN1"
"408",0,6.54456107959603,0.542,0.01,0,"8","ZNF536"
"409",0,6.49727014122964,0.483,0.012,0,"8","NKAIN3"
"410",0,6.43757988117479,0.266,0.003,0,"8","SORCS3"
"411",0,6.39177458306,0.483,0.007,0,"8","ERBB3"
"412",0,6.38485031143121,0.322,0.007,0,"8","ST6GALNAC2"
"413",0,6.36787898872833,0.347,0.007,0,"8","PEX5L"
"414",0,6.34132244112667,0.528,0.019,0,"8","SLC35F1"
"415",0,6.31970582254703,0.277,0.004,0,"8","PCSK2"
"416",0,6.31534336627507,0.294,0.005,0,"8","SOX10"
"417",0,6.20958438674506,0.542,0.019,0,"8","FRMD5"
"418",0,6.20114891423893,0.314,0.008,0,"8","TMEM132B"
"419",0,6.19735970650388,0.362,0.006,0,"8","RASGEF1C"
"420",0,6.06637289120176,0.282,0.003,0,"8","BCAS1"
"421",0,6.05079233773731,0.596,0.021,0,"8","CDH19"
"422",0,6.04020994737158,0.48,0.013,0,"8","MPZ"
"423",0,6.03816933420671,0.305,0.008,0,"8","ESRRG"
"424",0,5.99737239751542,0.305,0.01,0,"8","STK32A"
"425",0,5.92763504683381,0.311,0.008,0,"8","HCN1"
"426",0,5.9151293207321,0.638,0.036,0,"8","CADM2"
"427",0,5.90088213744323,0.285,0.008,0,"8","COBL"
"428",0,5.79652944583832,0.339,0.007,0,"8","EPB41L4B"
"429",0,5.7422202453048,0.316,0.011,0,"8","PRX"
"430",0,5.73770587814914,0.452,0.019,0,"8","SEMA3B"
"431",0,5.70518868788232,0.599,0.021,0,"8","COL28A1"
"432",3.33550348170346e-283,5.5365161417513,0.271,0.01,1.22082762933828e-278,"8","AC018742.1"
"433",0,5.43997053632665,0.277,0.004,0,"8","FA2H"
"434",6.72930093591805e-212,5.43263298112903,0.364,0.032,2.46299143555536e-207,"8","MLIP"
"435",0,5.3960045275932,0.528,0.032,0,"8","CHL1"
"436",0,5.37150045308128,0.353,0.015,0,"8","ST6GALNAC5"
"437",0,5.33128604334162,0.333,0.007,0,"8","S100B"
"438",0,5.32742431318089,0.48,0.033,0,"8","GPM6B"
"439",0,5.28365108285543,0.398,0.015,0,"8","TAFA5"
"440",0,5.22013181966494,0.311,0.008,0,"8","PLP1"
"441",0,5.21972012858731,0.61,0.047,0,"8","IL1RAPL1"
"442",0,5.19959162190064,0.511,0.03,0,"8","LRRC7"
"443",0,5.15418821711506,0.316,0.011,0,"8","KANK4"
"444",0,5.10342583673802,0.254,0.007,0,"8","MAL"
"445",0,5.0998775979389,0.469,0.034,0,"8","SCN7A"
"446",5.13470316538533e-262,4.99391100668409,0.347,0.021,1.87935270556268e-257,"8","ARHGAP39"
"447",3.42666853846242e-269,4.96267867004356,0.432,0.035,1.25419495176263e-264,"8","SHC4"
"448",3.63262332453366e-288,4.93979176444732,0.511,0.048,1.32957646301256e-283,"8","ITGB8"
"449",2.36057641549966e-182,4.92851758404565,0.26,0.017,8.63994573837031e-178,"8","NLGN4X"
"450",0,4.85398782830683,0.421,0.026,0,"8","NCAM1"
"451",0,7.655010438427,0.479,0.004,0,"9","AC116345.1"
"452",0,6.4059839976993,0.34,0.006,0,"9","DLEU7"
"453",0,6.34672030671493,0.665,0.029,0,"9","TENM2"
"454",0,6.23938277454409,0.457,0.013,0,"9","KLF5"
"455",0,5.76350887840681,0.426,0.015,0,"9","SHISA6"
"456",3.465728055931e-230,5.2049043150202,0.319,0.012,1.26849112575131e-225,"9","CLDN1"
"457",9.28900799046724e-217,5.09186905049467,0.793,0.109,3.39986981459092e-212,"9","SLC22A3"
"458",8.02904683791461e-169,4.87632111786045,0.543,0.058,2.93871143314513e-164,"9","PTCH1"
"459",6.82754749343856e-164,4.80766310459259,0.484,0.046,2.49895065807345e-159,"9","SORCS2"
"460",5.69841386915833e-114,4.7731616087442,0.319,0.027,2.08567646025064e-109,"9","SLC2A1"
"461",3.6051269211643e-186,4.7657220888563,0.537,0.049,1.31951250441535e-181,"9","PTCH2"
"462",5.23914327832864e-198,4.60564736479443,0.665,0.077,1.91757883130107e-193,"9","EBF2"
"463",1.9669557003483e-216,4.38118734132216,0.346,0.015,7.19925455884482e-212,"9","KANK4"
"464",1.12333749591983e-120,4.11227690012238,0.532,0.077,4.11152756881616e-116,"9","PAK3"
"465",1.65577414135657e-134,4.10231316222529,0.431,0.043,6.06029893477919e-130,"9","DAPK2"
"466",4.05380976418956e-74,4.02310300597993,0.255,0.026,1.48373491179102e-69,"9","LINC01500"
"467",4.1548361021338e-91,3.95084024173131,0.426,0.062,1.52071156174199e-86,"9","PTGDS"
"468",6.56713853401741e-97,3.89001903710481,0.803,0.278,2.40363837483571e-92,"9","BNC2"
"469",1.37038044645434e-127,3.84041395390863,0.351,0.029,5.01572947206754e-123,"9","ADAMTSL2"
"470",5.06475315593937e-102,3.82239574486631,0.521,0.088,1.85375030260537e-97,"9","MATN2"
"471",1.4742671273729e-91,3.62733737852708,0.319,0.034,5.39596511289754e-87,"9","TSBP1-AS1"
"472",8.54833678613143e-66,3.52475623989455,0.346,0.054,3.12877674709197e-61,"9","COL23A1"
"473",5.37621173441073e-76,3.50485950955089,0.42,0.071,1.96774725691167e-71,"9","PAPLN"
"474",2.26844039869073e-102,3.42301878489211,0.261,0.02,8.30271870324795e-98,"9","SLC7A14-AS1"
